ts_server,watt,voltage,current,frequency,energy_kwh,pf,source,timestamp
1766812093185,19.3,224.3,0.087,50.0,4.089,0.99,json_import,2025-12-27 05:08:13.185
1766812393164,11.7,225.39999,0.055,49.9,4.09,0.94,json_import,2025-12-27 05:13:13.164
1766812693810,8.1,224.3,0.036,50.0,4.091,1.0,json_import,2025-12-27 05:18:13.810
1766812993185,11.9,224.5,0.053,50.0,4.092,1.0,json_import,2025-12-27 05:23:13.185
1766813293203,11.9,224.89999,0.054,49.9,4.093,0.98,json_import,2025-12-27 05:28:13.203
1766813593222,10.5,224.89999,0.049,50.0,4.094,0.95,json_import,2025-12-27 05:33:13.222
1766813893185,28.6,224.60001,0.128,50.0,4.096,0.99,json_import,2025-12-27 05:38:13.185
1766814193186,20.8,225.89999,0.094,50.0,4.099,0.98,json_import,2025-12-27 05:43:13.186
1766814494233,21.0,225.39999,0.095,49.9,4.1,0.98,json_import,2025-12-27 05:48:14.233
1766814795313,22.0,224.3,0.1,50.0,4.102,0.98,json_import,2025-12-27 05:53:15.313
1766815093317,14.4,224.8,0.067,50.0,4.104,0.96,json_import,2025-12-27 05:58:13.317
1766815393302,13.6,223.5,0.073,49.9,4.105,0.83,json_import,2025-12-27 06:03:13.302
1766815693496,14.7,226.10001,0.069,49.9,4.106,0.94,json_import,2025-12-27 06:08:13.496
1766815993275,15.7,224.3,0.083,50.0,4.107,0.84,json_import,2025-12-27 06:13:13.275
1766816293990,18.5,223.60001,0.106,50.0,4.109,0.78,json_import,2025-12-27 06:18:13.990
1766816593254,13.3,224.3,0.062,50.0,4.11,0.96,json_import,2025-12-27 06:23:13.254
1766816893321,16.6,225.39999,0.077,50.0,4.111,0.96,json_import,2025-12-27 06:28:13.321
1766817193418,15.4,225.2,0.073,50.0,4.113,0.94,json_import,2025-12-27 06:33:13.418
1766817493245,16.6,225.5,0.078,50.0,4.114,0.94,json_import,2025-12-27 06:38:13.245
1766817793392,16.7,225.0,0.077,50.0,4.115,0.96,json_import,2025-12-27 06:43:13.392
1766818093421,23.7,222.7,0.108,50.0,4.117,0.99,json_import,2025-12-27 06:48:13.421
1766818393309,23.3,224.0,0.106,50.0,4.119,0.98,json_import,2025-12-27 06:53:13.309
1766818693257,14.7,225.3,0.069,50.0,4.121,0.95,json_import,2025-12-27 06:58:13.257
1766818993461,25.4,224.60001,0.121,50.0,4.123,0.93,json_import,2025-12-27 07:03:13.461
1766819293380,13.1,225.0,0.062,49.9,4.125,0.94,json_import,2025-12-27 07:08:13.380
1766819593274,23.9,225.89999,0.107,50.0,4.126,0.99,json_import,2025-12-27 07:13:13.274
1766819894004,13.9,225.89999,0.064,50.0,4.128,0.96,json_import,2025-12-27 07:18:14.004
1766820193674,23.0,227.5,0.103,50.0,4.13,0.98,json_import,2025-12-27 07:23:13.674
1766820493359,23.0,226.0,0.103,50.0,4.132,0.99,json_import,2025-12-27 07:28:13.359
1766820793514,26.0,227.3,0.116,50.0,4.133,0.99,json_import,2025-12-27 07:33:13.514
1766821093300,22.1,228.2,0.103,50.0,4.135,0.94,json_import,2025-12-27 07:38:13.300
1766821393359,25.5,226.39999,0.115,50.0,4.137,0.98,json_import,2025-12-27 07:43:13.359
1766821693329,25.7,224.60001,0.116,50.0,4.14,0.99,json_import,2025-12-27 07:48:13.329
1766821993323,21.9,226.10001,0.099,50.0,4.142,0.98,json_import,2025-12-27 07:53:13.323
1766822293320,23.2,226.8,0.104,50.0,4.144,0.98,json_import,2025-12-27 07:58:13.320
1766822593421,14.0,226.5,0.065,50.0,4.145,0.95,json_import,2025-12-27 08:03:13.421
1766822893323,12.6,226.3,0.058,50.0,4.146,0.96,json_import,2025-12-27 08:08:13.323
1766823193329,14.0,225.5,0.065,49.9,4.148,0.96,json_import,2025-12-27 08:13:13.329
1766823494059,13.8,226.60001,0.064,50.0,4.149,0.95,json_import,2025-12-27 08:18:14.059
1766823793332,12.7,227.7,0.059,50.0,4.15,0.95,json_import,2025-12-27 08:23:13.332
1766824093427,13.8,226.2,0.063,50.0,4.151,0.97,json_import,2025-12-27 08:28:13.427
1766824393375,13.7,225.8,0.064,50.0,4.152,0.95,json_import,2025-12-27 08:33:13.375
1766824693358,14.0,227.60001,0.064,50.0,4.153,0.96,json_import,2025-12-27 08:38:13.358
1766824993365,16.6,229.0,0.076,50.0,4.154,0.95,json_import,2025-12-27 08:43:13.365
1766825293495,15.2,226.39999,0.071,50.0,4.156,0.95,json_import,2025-12-27 08:48:13.495
1766825593378,16.5,228.39999,0.076,50.0,4.157,0.95,json_import,2025-12-27 08:53:13.378
1766825893359,15.1,228.0,0.071,50.0,4.158,0.93,json_import,2025-12-27 08:58:13.359
1766826193500,14.1,229.7,0.066,50.0,4.16,0.93,json_import,2025-12-27 09:03:13.500
1766826493373,14.7,228.60001,0.068,50.0,4.161,0.95,json_import,2025-12-27 09:08:13.373
1766826793369,13.4,227.2,0.063,50.0,4.162,0.94,json_import,2025-12-27 09:13:13.369
1766827094045,14.8,227.2,0.069,50.0,4.163,0.94,json_import,2025-12-27 09:18:14.045
1766827393429,13.6,228.3,0.064,50.0,4.164,0.93,json_import,2025-12-27 09:23:13.429
1766827693416,14.7,228.60001,0.068,50.0,4.165,0.95,json_import,2025-12-27 09:28:13.416
1766827993420,14.6,228.10001,0.068,49.9,4.167,0.94,json_import,2025-12-27 09:33:13.420
1766828293400,13.5,227.3,0.064,49.9,4.168,0.93,json_import,2025-12-27 09:38:13.400
1766828594524,12.0,227.8,0.058,50.0,4.169,0.91,json_import,2025-12-27 09:43:14.524
1766828893505,13.4,227.5,0.066,50.0,4.17,0.89,json_import,2025-12-27 09:48:13.505
1766829193397,23.5,227.2,0.107,50.0,4.172,0.97,json_import,2025-12-27 09:53:13.397
1766829493424,23.5,228.8,0.106,50.0,4.174,0.97,json_import,2025-12-27 09:58:13.424
1766829793434,22.4,230.10001,0.102,50.0,4.175,0.95,json_import,2025-12-27 10:03:13.434
1766830093411,18.9,230.7,0.083,50.0,4.177,0.99,json_import,2025-12-27 10:08:13.411
1766830393426,17.4,231.10001,0.076,50.0,4.179,0.99,json_import,2025-12-27 10:13:13.426
1766830694214,17.6,231.0,0.077,49.9,4.18,0.99,json_import,2025-12-27 10:18:14.214
1766830993427,16.5,229.39999,0.074,49.9,4.181,0.97,json_import,2025-12-27 10:23:13.427
1766831293446,8.1,229.5,0.038,49.9,4.182,0.93,json_import,2025-12-27 10:28:13.446
1766831593704,8.2,229.7,0.038,49.9,4.183,0.94,json_import,2025-12-27 10:33:13.704
1766831893447,6.9,228.89999,0.033,49.9,4.183,0.91,json_import,2025-12-27 10:38:13.447
1766832193482,9.0,229.89999,0.041,49.9,4.184,0.95,json_import,2025-12-27 10:43:13.482
1766832493510,16.2,230.10001,0.071,49.9,4.186,0.99,json_import,2025-12-27 10:48:13.510
