ts_server,watt,voltage,current,frequency,energy_kwh,pf,source,timestamp
1767015455925,20.6,226.60001,0.093,50.0,5.173,0.98,json_import,2025-12-29 13:37:35.925
1767015755906,20.8,226.2,0.093,50.0,5.174,0.99,json_import,2025-12-29 13:42:35.906
1767016056098,20.6,226.2,0.093,50.0,5.176,0.98,json_import,2025-12-29 13:47:36.098
1767016355979,20.5,227.39999,0.092,50.0,5.178,0.98,json_import,2025-12-29 13:52:35.979
1767016655916,20.3,225.0,0.092,50.0,5.179,0.98,json_import,2025-12-29 13:57:35.916
1767016956007,20.4,226.5,0.092,50.0,5.181,0.98,json_import,2025-12-29 14:02:36.007
1767017256686,20.3,225.10001,0.092,50.0,5.183,0.98,json_import,2025-12-29 14:07:36.686
1767017555930,20.3,224.3,0.092,49.9,5.184,0.98,json_import,2025-12-29 14:12:35.930
1767017855966,22.8,223.89999,0.104,50.0,5.186,0.98,json_import,2025-12-29 14:17:35.966
1767018155974,22.7,225.8,0.103,50.0,5.188,0.98,json_import,2025-12-29 14:22:35.974
1767018455985,23.0,226.3,0.104,50.0,5.19,0.98,json_import,2025-12-29 14:27:35.985
1767018756023,22.5,223.89999,0.103,50.0,5.192,0.98,json_import,2025-12-29 14:32:36.023
1767019056026,22.5,222.8,0.105,50.0,5.194,0.96,json_import,2025-12-29 14:37:36.026
1767019355954,22.7,224.39999,0.105,50.0,5.196,0.96,json_import,2025-12-29 14:42:35.954
1767019655994,22.5,224.39999,0.105,50.0,5.198,0.95,json_import,2025-12-29 14:47:35.994
1767019955989,22.7,225.5,0.105,50.0,5.2,0.96,json_import,2025-12-29 14:52:35.989
1767020255955,22.5,224.2,0.105,50.0,5.201,0.96,json_import,2025-12-29 14:57:35.955
1767020556000,22.6,224.3,0.105,49.9,5.203,0.96,json_import,2025-12-29 15:02:36.000
1767020856725,22.7,226.2,0.105,50.0,5.205,0.96,json_import,2025-12-29 15:07:36.725
1767021155973,22.6,226.39999,0.104,50.0,5.207,0.96,json_import,2025-12-29 15:12:35.973
1767021456013,22.5,223.7,0.105,50.0,5.209,0.96,json_import,2025-12-29 15:17:36.013
1767021755978,24.1,224.89999,0.112,50.0,5.211,0.96,json_import,2025-12-29 15:22:35.978
1767022055995,26.1,223.2,0.123,50.0,5.213,0.95,json_import,2025-12-29 15:27:35.995
1767022356046,26.2,225.0,0.122,49.9,5.215,0.95,json_import,2025-12-29 15:32:36.046
1767022655992,25.8,225.89999,0.12,50.0,5.217,0.95,json_import,2025-12-29 15:37:35.992
1767022956001,23.5,224.89999,0.107,49.9,5.22,0.98,json_import,2025-12-29 15:42:36.001
1767023256138,21.2,225.39999,0.096,50.0,5.221,0.98,json_import,2025-12-29 15:47:36.138
1767023556009,21.3,225.8,0.096,50.0,5.223,0.98,json_import,2025-12-29 15:52:36.009
1767023856011,21.3,227.2,0.096,50.0,5.225,0.98,json_import,2025-12-29 15:57:36.011
1767024156072,21.4,228.10001,0.096,50.0,5.227,0.98,json_import,2025-12-29 16:02:36.072
1767024456646,21.2,227.39999,0.096,50.0,5.228,0.97,json_import,2025-12-29 16:07:36.646
1767024756019,21.2,226.3,0.096,50.0,5.23,0.98,json_import,2025-12-29 16:12:36.019
1767025056055,21.2,228.5,0.095,50.0,5.232,0.98,json_import,2025-12-29 16:17:36.055
1767025356021,21.0,228.10001,0.094,50.0,5.234,0.98,json_import,2025-12-29 16:22:36.021
1767025656017,20.8,227.10001,0.094,49.9,5.235,0.97,json_import,2025-12-29 16:27:36.017
1767025956140,21.0,227.7,0.094,50.0,5.237,0.98,json_import,2025-12-29 16:32:36.140
1767026256034,23.5,226.5,0.107,50.0,5.239,0.97,json_import,2025-12-29 16:37:36.034
1767026556021,23.4,228.10001,0.106,49.9,5.241,0.97,json_import,2025-12-29 16:42:36.021
1767026856057,23.7,228.10001,0.108,50.0,5.243,0.96,json_import,2025-12-29 16:47:36.057
1767027156048,21.1,228.3,0.095,50.0,5.245,0.97,json_import,2025-12-29 16:52:36.048
1767027456053,23.5,227.10001,0.109,49.9,5.247,0.95,json_import,2025-12-29 16:57:36.053
1767027756158,23.2,228.10001,0.107,50.0,5.249,0.95,json_import,2025-12-29 17:02:36.158
1767028056627,23.5,228.60001,0.108,50.0,5.251,0.95,json_import,2025-12-29 17:07:36.627
1767028356032,23.2,226.3,0.107,50.0,5.253,0.96,json_import,2025-12-29 17:12:36.032
1767028656136,23.3,227.3,0.108,49.9,5.255,0.95,json_import,2025-12-29 17:17:36.136
1767028956049,23.2,227.89999,0.107,49.9,5.256,0.95,json_import,2025-12-29 17:22:36.049
1767029256072,23.2,228.2,0.107,50.0,5.258,0.95,json_import,2025-12-29 17:27:36.072
1767029556076,23.3,227.5,0.108,50.0,5.26,0.95,json_import,2025-12-29 17:32:36.076
1767029856040,23.3,227.2,0.108,50.0,5.262,0.95,json_import,2025-12-29 17:37:36.040
1767030156056,23.5,229.39999,0.108,50.0,5.264,0.95,json_import,2025-12-29 17:42:36.056
1767030456123,25.8,228.2,0.12,50.0,5.266,0.94,json_import,2025-12-29 17:47:36.123
1767030756056,25.7,229.5,0.12,50.0,5.269,0.93,json_import,2025-12-29 17:52:36.056
1767031056084,23.4,228.5,0.106,50.0,5.271,0.97,json_import,2025-12-29 17:57:36.084
1767031356233,21.1,230.5,0.094,49.9,5.272,0.97,json_import,2025-12-29 18:02:36.233
1767031656731,20.9,231.39999,0.093,50.0,5.274,0.97,json_import,2025-12-29 18:07:36.731
1767031956067,20.5,229.5,0.092,50.0,5.276,0.97,json_import,2025-12-29 18:12:36.067
1767032256229,6.6,229.89999,0.03,49.9,5.277,0.96,json_import,2025-12-29 18:17:36.229
1767032556095,20.7,231.8,0.092,50.0,5.278,0.97,json_import,2025-12-29 18:22:36.095
1767032856089,21.1,231.39999,0.093,50.0,5.28,0.98,json_import,2025-12-29 18:27:36.089
1767033156239,20.9,229.3,0.094,49.9,5.282,0.97,json_import,2025-12-29 18:32:36.239
1767033456085,20.9,227.7,0.094,50.0,5.283,0.98,json_import,2025-12-29 18:37:36.085
1767033756082,20.8,227.7,0.093,50.0,5.285,0.98,json_import,2025-12-29 18:42:36.082
